model,task,condition,n_obs,n_excluded_orig_invalid,acr_pct,ci_low,ci_high,invalid_rate_pct,original_invalid_rate_pct,explanation_missing_rate_pct,acr_adjusted_pct,acr_adjusted_ci_low,acr_adjusted_ci_high,n_paired_for_adjustment
Gemma-2-27B-Base,gsm8k,control_irrelevant,1500,0,69.6,67.26666666666667,71.93333333333334,12.533333333333333,0.0,0.0,72.8,68.8,77.0,500.0
Gemma-2-27B-Base,gsm8k,perturb_step_reorder,1500,0,3.1333333333333333,2.3333333333333335,4.0,0.0,0.0,0.0,0.8,-0.2,2.0,500.0
Gemma-2-27B-Base,gsm8k,perturb_word_shuffle,1500,0,32.53333333333333,30.133333333333333,35.0,0.9333333333333335,0.0,0.0,26.4,22.4,30.4,500.0
Gemma-2-27B-Base,gsm8k,reinject_original,500,0,2.2,1.0,3.4,0.0,0.0,0.0,,,,
Gemma-2-27B-Base,gsm8k,removal,500,0,74.8,71.0,78.4,0.0,0.0,0.0,72.6,68.8,76.4,500.0
Gemma-2-27B-Base,gsm8k,swap,1500,0,87.6,85.93333333333334,89.2,4.6,0.0,0.0,91.0,88.4,93.4,500.0
Gemma-2-27B-Base,mmlu_stem,control_irrelevant,1500,0,28.2,26.0,30.533333333333335,3.1333333333333333,0.0,0.0,16.4,12.4,20.4,500.0
Gemma-2-27B-Base,mmlu_stem,perturb_step_reorder,1500,0,12.333333333333334,10.733333333333333,14.0,0.06666666666666667,0.0,0.0,1.2,-0.4,3.0,500.0
Gemma-2-27B-Base,mmlu_stem,perturb_word_shuffle,1500,0,17.333333333333332,15.4,19.266666666666666,0.6,0.0,0.0,5.0,2.0,8.0,500.0
Gemma-2-27B-Base,mmlu_stem,reinject_original,500,0,11.2,8.4,14.0,0.0,0.0,0.0,,,,
Gemma-2-27B-Base,mmlu_stem,removal,500,0,26.4,22.4,30.4,0.2,0.0,0.0,15.2,11.4,19.2,500.0
Gemma-2-27B-Base,mmlu_stem,swap,1500,0,33.8,31.4,36.266666666666666,3.733333333333334,0.0,0.0,20.8,16.8,24.8,500.0
Gemma-2-27B-Instruct,gsm8k,control_irrelevant,1494,6,10.174029451137885,8.634538152610443,11.713520749665328,0.06693440428380187,0.4,0.0,6.224899598393574,3.4136546184738954,9.437751004016064,498.0
Gemma-2-27B-Instruct,gsm8k,perturb_step_reorder,1494,6,8.500669344042837,7.161981258366801,9.973226238286479,5.287817938420348,0.4,0.0,3.21285140562249,0.8032128514056225,5.622489959839357,498.0
Gemma-2-27B-Instruct,gsm8k,perturb_word_shuffle,1494,6,8.96921017402945,7.563587684069612,10.441767068273093,0.0,0.4,0.0,4.216867469879518,1.4056224899598393,6.827309236947791,498.0
Gemma-2-27B-Instruct,gsm8k,reinject_original,498,2,4.016064257028113,2.4096385542168677,5.823293172690763,3.614457831325301,0.4,0.0,,,,
Gemma-2-27B-Instruct,gsm8k,removal,498,2,8.433734939759036,6.024096385542169,11.04417670682731,0.0,0.4,0.0,4.417670682730924,1.606425702811245,7.228915662650603,498.0
Gemma-2-27B-Instruct,gsm8k,swap,1494,6,10.642570281124499,9.103078982597054,12.248995983935743,0.0,0.4,0.0,5.622489959839357,2.8112449799196786,8.433734939759036,498.0
Gemma-2-27B-Instruct,mmlu_stem,control_irrelevant,1278,222,18.857589984350547,16.666666666666668,20.970266040688575,7.120500782472614,14.799999999999999,0.0,0.4694835680751174,-4.694835680751174,5.633802816901408,426.0
Gemma-2-27B-Instruct,mmlu_stem,perturb_step_reorder,1278,222,23.708920187793428,21.36150234741784,26.056338028169016,7.355242566510173,14.799999999999999,0.0,3.051643192488263,-1.6431924882629108,7.511737089201878,426.0
Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,1278,222,18.231611893583725,16.118935837245697,20.344287949921753,4.225352112676056,14.799999999999999,0.0,-0.4694835680751174,-5.39906103286385,4.460093896713615,426.0
Gemma-2-27B-Instruct,mmlu_stem,reinject_original,426,74,18.779342723004696,15.023474178403756,22.769953051643192,8.685446009389672,14.799999999999999,0.0,,,,
Gemma-2-27B-Instruct,mmlu_stem,removal,426,74,17.370892018779344,13.849765258215962,21.12676056338028,7.746478873239436,14.799999999999999,0.0,-1.408450704225352,-6.338028169014085,3.5211267605633805,426.0
Gemma-2-27B-Instruct,mmlu_stem,swap,1278,222,19.014084507042252,16.901408450704224,21.205007824726135,12.363067292644757,14.799999999999999,0.0,-1.6431924882629108,-6.572769953051643,3.2863849765258215,426.0
Gemma-7B-Base,gsm8k,control_irrelevant,1497,3,64.6626586506346,62.25784903139613,67.13426853707415,31.863727454909817,0.2,0.0,58.91783567134269,54.30861723446894,63.52705410821643,499.0
