pair_id,base_model,instruct_model,task,condition,base_acr_pct,instruct_acr_pct,n_paired,statistic,p_value,b,c
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,gsm8k,removal,21.0,9.6,500,31.04950495049505,2.5153047138776666e-08,79,22
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,23.599999999999998,11.4,500,26.277372262773724,2.957333931647555e-07,99,38
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,gsm8k,perturb_step_reorder,6.0,3.8,500,2.127659574468085,0.14466148777280907,29,18
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,gsm8k,swap,99.8,11.0,500,442.0022522522523,3.969000778081277e-98,444,0
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,gsm8k,control_irrelevant,56.599999999999994,10.0,500,191.5444839857651,1.4628862154534845e-43,257,24
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,gsm8k,reinject_original,3.4000000000000004,1.7999999999999998,500,1.8846153846153846,0.16981050508552145,17,9
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,mmlu_stem,removal,24.6,37.4,500,21.570652173913043,3.410304878605752e-06,60,124
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,12.4,41.6,500,99.1745283018868,2.3120166834988602e-23,33,179
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,mmlu_stem,perturb_step_reorder,5.6000000000000005,28.199999999999996,500,88.9645390070922,4.0195355776692295e-21,14,127
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,mmlu_stem,swap,36.199999999999996,60.8,500,60.25910931174089,8.315709630850112e-15,62,185
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,mmlu_stem,control_irrelevant,26.0,41.8,500,28.56338028169014,9.068102335564764e-08,67,146
qwen3_8b,Qwen3-8B-Base,Qwen3-8B-Instruct,mmlu_stem,reinject_original,4.8,18.2,500,40.71028037383178,1.7655588507150574e-10,20,87
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,gsm8k,removal,89.8,91.4,500,0.5697674418604651,0.450351343584874,39,47
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,gsm8k,perturb_word_shuffle,46.2,83.0,500,128.80384615384617,7.486298601966676e-30,38,222
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,gsm8k,perturb_step_reorder,9.0,65.0,500,246.33227848101265,1.6370399249587226e-55,18,298
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,gsm8k,swap,99.4,67.80000000000001,500,154.05625,2.2513138534816496e-35,159,1
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,gsm8k,control_irrelevant,64.8,59.8,500,2.430379746835443,0.11900406643496333,131,106
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,gsm8k,reinject_original,6.0,76.6,500,330.41066666666666,7.822467652727276e-74,11,364
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,mmlu_stem,removal,38.800000000000004,43.0,500,1.5810276679841897,0.20861272831070404,116,137
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,mmlu_stem,perturb_word_shuffle,28.000000000000004,40.0,500,15.68018018018018,7.500604880542978e-05,81,141
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,mmlu_stem,perturb_step_reorder,16.8,36.8,500,47.577669902912625,5.286726171833871e-12,53,153
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,mmlu_stem,swap,50.0,40.0,500,9.84016393442623,0.0017074228040456108,147,97
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,mmlu_stem,control_irrelevant,48.199999999999996,34.4,500,18.422310756972113,1.7697370775638687e-05,160,91
gemma_7b,Gemma-7B-Base,Gemma-7B-Instruct,mmlu_stem,reinject_original,14.000000000000002,37.6,500,64.57075471698113,9.31273990594331e-16,47,165
llama31_8b,Llama-3.1-8B-Base,Llama-3.1-8B-Instruct,gsm8k,removal,89.0,50.8,500,142.68774703557312,6.878663030059882e-33,222,31
llama31_8b,Llama-3.1-8B-Base,Llama-3.1-8B-Instruct,gsm8k,perturb_word_shuffle,38.6,55.2,500,27.222672064777328,1.8131991395431657e-07,82,165
llama31_8b,Llama-3.1-8B-Base,Llama-3.1-8B-Instruct,gsm8k,perturb_step_reorder,3.0,52.2,500,229.1030534351145,9.353050939503281e-52,8,254
