model,task,condition_a,condition_b,n_paired,statistic,p_value,b,c
Gemma-2-27B-Base,gsm8k,removal,perturb_word_shuffle,500,201.1406844106464,1.1773686825316928e-45,247,16
Gemma-2-27B-Base,gsm8k,removal,perturb_step_reorder,500,355.02493074792244,3.411235264787369e-79,360,1
Gemma-2-27B-Base,gsm8k,removal,swap,500,76.67592592592592,2.014440954548372e-18,8,100
Gemma-2-27B-Base,gsm8k,removal,control_irrelevant,500,0.0,1.0,43,44
Gemma-2-27B-Base,gsm8k,removal,reinject_original,500,361.0027548209366,1.7030908474228274e-80,363,0
Gemma-2-27B-Base,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,122.18939393939394,2.0982112439947344e-28,130,2
Gemma-2-27B-Base,gsm8k,perturb_word_shuffle,swap,500,311.36336336336336,1.1021158010666427e-69,5,328
Gemma-2-27B-Base,gsm8k,perturb_word_shuffle,control_irrelevant,500,199.1082089552239,3.26920975937009e-45,18,250
Gemma-2-27B-Base,gsm8k,perturb_word_shuffle,reinject_original,500,124.35507246376811,7.044053153584214e-29,135,3
Gemma-2-27B-Base,gsm8k,perturb_step_reorder,swap,500,449.0022172949002,1.189217347171055e-99,0,451
Gemma-2-27B-Base,gsm8k,perturb_step_reorder,control_irrelevant,500,356.02486187845307,2.0661984780106666e-79,1,361
Gemma-2-27B-Base,gsm8k,perturb_step_reorder,reinject_original,500,1.125,0.28884436634648486,6,2
Gemma-2-27B-Base,gsm8k,swap,control_irrelevant,500,77.14285714285714,1.5902873970263617e-18,98,7
Gemma-2-27B-Base,gsm8k,swap,reinject_original,500,453.0021978021978,1.602356109073541e-100,455,0
Gemma-2-27B-Base,gsm8k,control_irrelevant,reinject_original,500,356.13243243243244,1.9577090659134586e-79,367,3
Gemma-2-27B-Base,mmlu_stem,removal,perturb_word_shuffle,500,28.089887640449437,1.1580940422832026e-07,70,19
Gemma-2-27B-Base,mmlu_stem,removal,perturb_step_reorder,500,44.083333333333336,3.146890173051438e-11,89,19
Gemma-2-27B-Base,mmlu_stem,removal,swap,500,8.476744186046512,0.0035971532078372583,29,57
Gemma-2-27B-Base,mmlu_stem,removal,control_irrelevant,500,0.390625,0.5319710580974011,29,35
Gemma-2-27B-Base,mmlu_stem,removal,reinject_original,500,53.06603773584906,3.225208977324415e-13,91,15
Gemma-2-27B-Base,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,6.113207547169812,0.013417541070915166,36,17
Gemma-2-27B-Base,mmlu_stem,perturb_word_shuffle,swap,500,51.12605042016807,8.66210879320519e-13,20,99
Gemma-2-27B-Base,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,31.04950495049505,2.5153047138776666e-08,22,79
Gemma-2-27B-Base,mmlu_stem,perturb_word_shuffle,reinject_original,500,9.442622950819672,0.0021200008476833184,43,18
